img,output,flag,username,timestamp
C:\Users\Teguh Ramadhan\Documents\pythonroadmap\FastAI\QurbanClassification\flagged\img\tmp27_93ijf.jpg,C:\Users\Teguh Ramadhan\Documents\pythonroadmap\FastAI\QurbanClassification\flagged\output\tmpj95qb233.json,,,2022-09-20 13:35:29.949174
C:\Users\Teguh Ramadhan\Documents\pythonroadmap\FastAI\QurbanClassification\flagged\img\tmpwevwtpsv.jpg,C:\Users\Teguh Ramadhan\Documents\pythonroadmap\FastAI\QurbanClassification\flagged\output\tmpr6dbqhw9.json,,,2022-09-20 13:47:55.780560
